marca;alimentazione;aspirazione;carrozzeria;trazione;posizMotore;distAssi;lunghezza;larghezza;altezza;peso;cilindrata;compressione;HP;giriMax;percorrUrbana;percorrStrada;Ncilindri
alfa-romeo;benz;std;convertible;rwd;front;225;428.8;162.8;124;1155.8;2.1303;9;111;5000;8.928;11.479;4
alfa-romeo;benz;std;convertible;rwd;front;225;428.8;162.8;124;1155.8;2.1303;9;111;5000;8.928;11.479;4
alfa-romeo;benz;std;hatchback;rwd;front;240;434.8;166.4;133.1;1280.5;2.4908;9;154;5000;8.078;11.053;6
audi;benz;std;sedan;fwd;front;253.5;448.6;168.1;137.9;1060.1;1.7862;10;102;5500;10.203;12.754;4
audi;benz;std;sedan;4wd;front;252.5;448.6;168.7;137.9;1281;2.2286;8;115;5500;7.652;9.353;5
audi;benz;std;sedan;fwd;front;253.5;450.3;168.4;134.9;1137.2;2.2286;8.5;110;5500;8.078;10.628;5
audi;benz;std;sedan;fwd;front;268.7;489.5;181.4;141.5;1290;2.2286;8.5;110;5500;8.078;10.628;5
audi;benz;std;wagon;fwd;front;268.7;489.5;181.4;141.5;1339.9;2.2286;8.5;110;5500;8.078;10.628;5
audi;benz;turbo;sedan;fwd;front;268.7;489.5;181.4;142;1399.8;2.1467;8.3;140;5500;7.227;8.503;5
audi;benz;turbo;hatchback;4wd;front;252.7;452.6;172.5;132.1;1384.8;2.1467;7;160;5500;6.802;9.353;5
bmw;benz;std;sedan;rwd;front;257;449.1;164.6;137.9;1086.4;1.7698;8.8;101;5800;9.778;12.329;4
bmw;benz;std;sedan;rwd;front;257;449.1;164.6;137.9;1086.4;1.7698;8.8;101;5800;9.778;12.329;4
bmw;benz;std;sedan;rwd;front;257;449.1;164.6;137.9;1229.3;2.6875;9;121;4250;8.928;11.904;6
bmw;benz;std;sedan;rwd;front;257;449.1;164.6;137.9;1254.2;2.6875;9;121;4250;8.928;11.904;6
bmw;benz;std;sedan;rwd;front;262.9;480.1;169.9;141.5;1385.7;2.6875;9;121;4250;8.503;10.628;6
bmw;benz;std;sedan;rwd;front;262.9;480.1;169.9;141.5;1465.1;3.4249;8;182;5400;6.802;9.353;6
bmw;benz;std;sedan;rwd;front;262.9;492.3;172.5;136.4;1533.2;3.4249;8;182;5400;6.802;9.353;6
bmw;benz;std;sedan;rwd;front;279.4;500.4;180.1;143;1589.9;3.4249;8;182;5400;6.377;8.503;6
chevrolet;benz;std;hatchback;fwd;front;224.5;358.4;153.2;135.1;675;0.9996;9.5;48;5100;19.981;22.532;3
chevrolet;benz;std;hatchback;fwd;front;240;396;161.5;132.1;850;1.4748;9.6;70;5400;16.155;18.281;4
chevrolet;benz;std;sedan;fwd;front;240;403.4;161.5;132.1;865.9;1.4748;9.6;70;5400;16.155;18.281;4
dodge;benz;std;hatchback;fwd;front;238;399.5;162.1;129;851;1.4748;9.41;68;5500;15.73;17.43;4
dodge;benz;std;hatchback;fwd;front;238;399.5;162.1;129;851;1.4748;9.4;68;5500;13.179;16.155;4
dodge;benz;turbo;hatchback;fwd;front;238;399.5;162.1;129;965.3;1.6059;7.6;102;5500;10.203;12.754;4
dodge;benz;std;hatchback;fwd;front;238;399.5;162.1;128.5;892.2;1.4748;9.4;68;5500;13.179;16.155;4
dodge;benz;std;sedan;fwd;front;238;399.5;162.1;128.5;902.2;1.4748;9.4;68;5500;13.179;16.155;4
dodge;benz;std;sedan;fwd;front;238;399.5;162.1;128.5;902.2;1.4748;9.4;68;5500;13.179;16.155;4
dodge;benz;turbo;sedan;fwd;front;238;399.5;162.1;128.5;993.8;1.6059;7.6;102;5500;10.203;12.754;4
dodge;benz;std;wagon;fwd;front;262.4;443.5;164.1;151.9;1149.9;1.9992;8.5;88;5000;10.203;12.754;4
dodge;benz;turbo;hatchback;fwd;front;243.6;439.9;168.4;127.5;1275.1;2.5564;7;145;5000;8.078;10.203;4
honda;benz;std;hatchback;fwd;front;220;367.3;162.3;129;777;1.5076;9.6;58;4800;20.832;22.957;4
honda;benz;std;hatchback;fwd;front;220;367.3;162.3;129;825.1;1.5076;9.2;76;6000;13.179;16.155;4
honda;benz;std;hatchback;fwd;front;238;381;162.6;133.6;833.3;1.2946;10.1;60;5500;16.155;17.856;4
honda;benz;std;hatchback;fwd;front;238;381;162.6;133.6;880;1.5076;9.2;76;6000;12.754;14.455;4
honda;benz;std;hatchback;fwd;front;238;381;162.6;133.6;887.2;1.5076;9.2;76;6000;12.754;14.455;4
honda;benz;std;sedan;fwd;front;245.1;415;162.6;138.4;911.7;1.5076;9.2;76;6000;12.754;14.455;4
honda;benz;std;wagon;fwd;front;245.1;399;162.3;148.1;918.1;1.5076;9.2;76;6000;12.754;14.455;4
honda;benz;std;hatchback;fwd;front;245.1;425.4;165.6;135.4;1014.2;1.8026;9;86;5800;11.479;14.029;4
honda;benz;std;hatchback;fwd;front;245.1;425.4;165.6;135.4;1038.3;1.8026;9;86;5800;11.479;14.029;4
honda;benz;std;sedan;fwd;front;245.1;445.5;165.6;137.4;1045.1;1.8026;9;86;5800;11.479;14.029;4
honda;benz;std;sedan;fwd;front;245.1;445.5;158.8;137.4;1075.9;1.8026;9;86;5800;11.479;14.029;4
honda;benz;std;sedan;fwd;front;245.1;445.5;165.6;137.4;1118.1;1.8026;9;101;5800;10.203;11.904;4
honda;benz;std;sedan;fwd;front;245.1;429.5;167.6;129.5;1040.1;1.8026;9.1;100;5500;10.628;13.179;4
isuzu;benz;std;sedan;rwd;front;239.5;433.6;157;135.9;1060.1;1.819;8.5;78;4800;10.203;12.329;4
isuzu;benz;std;sedan;fwd;front;240;396;161.5;132.1;850;1.4748;9.6;70;5400;16.155;18.281;4
isuzu;benz;std;sedan;fwd;front;240;396;161.5;132.1;865.9;1.4748;9.6;70;5400;16.155;18.281;4
isuzu;benz;std;hatchback;rwd;front;243.8;438.4;165.6;130.6;1240.1;1.9501;9.2;90;5000;10.203;12.329;4
jaguar;benz;std;sedan;rwd;front;287;507;176.8;134.1;1844.3;4.2279;8.1;176;4750;6.377;8.078;6
jaguar;benz;std;sedan;rwd;front;287;507;176.8;134.1;1844.3;4.2279;8.1;176;4750;6.377;8.078;6
jaguar;benz;std;sedan;rwd;front;259.1;486.9;179.3;121.4;1791.7;5.3422;11.5;262;5000;5.527;7.227;12
mazda;benz;std;hatchback;fwd;front;236.5;404.1;163.1;137.4;857.3;1.4912;9;68;5000;12.754;13.179;4
mazda;benz;std;hatchback;fwd;front;236.5;404.1;163.1;137.4;861.8;1.4912;9;68;5000;13.179;16.155;4
mazda;benz;std;hatchback;fwd;front;236.5;404.1;163.1;137.4;864.1;1.4912;9;68;5000;13.179;16.155;4
mazda;benz;std;sedan;fwd;front;236.5;423.7;163.1;137.4;882.3;1.4912;9;68;5000;13.179;16.155;4
mazda;benz;std;sedan;fwd;front;236.5;423.7;163.1;137.4;884.5;1.4912;9;68;5000;13.179;16.155;4
mazda;benz;std;hatchback;rwd;front;242.1;429.3;166.9;126;1079.6;1.1471;9.4;101;6000;7.227;9.778;2
mazda;benz;std;hatchback;rwd;front;242.1;429.3;166.9;126;1079.6;1.1471;9.4;101;6000;7.227;9.778;2
mazda;benz;std;hatchback;rwd;front;242.1;429.3;166.9;126;1081.8;1.1471;9.4;101;6000;7.227;9.778;2
mazda;benz;std;hatchback;rwd;front;242.1;429.3;166.9;126;1134;1.311;9.4;135;6000;6.802;9.778;2
mazda;benz;std;hatchback;fwd;front;251;451.6;168.9;136.4;1081.8;1.9992;8.6;84;4800;11.053;13.604;4
mazda;benz;std;sedan;fwd;front;251;451.6;168.9;141;1093.2;1.9992;8.6;84;4800;11.053;13.604;4
mazda;benz;std;hatchback;fwd;front;251;451.6;168.9;136.4;1081.8;1.9992;8.6;84;4800;11.053;13.604;4
mazda;benz;std;sedan;fwd;front;251;451.6;168.9;141;1093.2;1.9992;8.6;84;4800;11.053;13.604;4
mazda;diesel;std;sedan;fwd;front;251;451.6;168.9;141;1108.1;1.9992;22.7;64;4650;15.305;17.856;4
mazda;benz;std;hatchback;fwd;front;251;451.6;168.9;141;1100;1.9992;8.6;84;4800;11.053;13.604;4
mazda;benz;std;sedan;rwd;front;266.4;444.5;167.9;138.2;1211.1;2.2942;8;120;5000;8.078;11.479;4
mazda;diesel;std;sedan;rwd;front;266.4;444.5;167.9;138.2;1224.7;2.1959;22;72;4200;13.179;16.58;4
mercedes-benz;diesel;turbo;sedan;rwd;front;279.4;484.9;178.6;143.5;1594.4;2.9988;21.5;123;4350;9.353;10.628;5
mercedes-benz;diesel;turbo;wagon;rwd;front;279.4;484.9;178.6;149.1;1701;2.9988;21.5;123;4350;9.353;10.628;5
mercedes-benz;diesel;turbo;hardtop;rwd;front;271;476.2;178.6;139.4;1585.3;2.9988;21.5;123;4350;9.353;10.628;5
mercedes-benz;diesel;turbo;sedan;rwd;front;293.6;514.6;182.1;143;1710.1;2.9988;21.5;123;4350;9.353;10.628;5
mercedes-benz;benz;std;sedan;rwd;front;293.6;514.6;182.1;143.5;1696.5;3.8346;8.3;155;4750;6.802;7.652;8
mercedes-benz;benz;std;convertible;rwd;front;245.4;458;179.1;129;1671.5;3.8346;8.3;155;4750;6.802;7.652;8
mercedes-benz;benz;std;sedan;rwd;front;307.1;528.6;182.1;144;1769;5.0472;8;184;4500;5.952;6.802;8
mercedes-benz;benz;std;hardtop;rwd;front;284.5;506;182.9;140.7;1685.1;4.9817;8;184;4500;5.952;6.802;8
mercury;benz;turbo;hatchback;rwd;front;260.9;453.1;172.7;139.2;1320;2.2942;8;175;5000;8.078;10.203;4
mitsubishi;benz;std;hatchback;fwd;front;238;399.5;163.6;129;870;1.5076;9.4;68;5500;15.73;17.43;4
mitsubishi;benz;std;hatchback;fwd;front;238;399.5;163.6;129;881.8;1.5076;9.4;68;5500;13.179;16.155;4
mitsubishi;benz;std;hatchback;fwd;front;238;399.5;163.6;129;909;1.5076;9.4;68;5500;13.179;16.155;4
mitsubishi;benz;turbo;hatchback;fwd;front;236.2;399.5;162.1;129;973;1.6059;7.6;102;5500;10.203;12.754;4
mitsubishi;benz;turbo;hatchback;fwd;front;244.6;439.4;166.1;125.5;1075;1.8026;7.5;116;5500;9.778;12.754;4
mitsubishi;benz;std;hatchback;fwd;front;244.6;439.4;166.1;125.5;1056;1.9992;8.5;88;5000;10.628;13.604;4
mitsubishi;benz;turbo;hatchback;fwd;front;243.6;439.9;168.4;127.5;1285;2.5564;7;145;5000;8.078;10.203;4
mitsubishi;benz;turbo;hatchback;fwd;front;243.6;439.9;168.4;127.5;1325;2.5564;7;145;5000;8.078;10.203;4
mitsubishi;benz;turbo;hatchback;fwd;front;243.6;439.9;168.4;127.5;1327.2;2.5564;7;145;5000;8.078;10.203;4
mitsubishi;benz;std;sedan;fwd;front;244.6;437.9;166.1;131.1;1072.8;1.9992;8.5;88;5000;10.628;13.604;4
mitsubishi;benz;std;sedan;fwd;front;244.6;437.9;166.1;131.1;1090.9;1.9992;8.5;88;5000;10.628;13.604;4
mitsubishi;benz;turbo;sedan;fwd;front;244.6;437.9;166.1;131.1;1090;1.8026;7.5;116;5500;9.778;12.754;4
mitsubishi;benz;std;sedan;fwd;front;244.6;437.9;166.1;131.1;1090;1.8026;7.5;116;5500;9.778;12.754;4
nissan;benz;std;sedan;fwd;front;240;419.9;162.1;138.4;856.9;1.5895;9.4;69;5200;13.179;15.73;4
nissan;diesel;std;sedan;fwd;front;240;419.9;162.1;138.4;914.9;1.6879;21.9;55;4800;19.131;21.257;4
nissan;benz;std;sedan;fwd;front;240;419.9;162.1;138.4;870;1.5895;9.4;69;5200;13.179;15.73;4
nissan;benz;std;sedan;fwd;front;240;419.9;162.1;138.4;879.1;1.5895;9.4;69;5200;13.179;15.73;4
nissan;benz;std;wagon;fwd;front;240;432.3;162.1;135.9;918.1;1.5895;9.4;69;5200;13.179;15.73;4
nissan;benz;std;sedan;fwd;front;240;419.9;162.1;138.4;885;1.5895;9.4;69;5200;13.179;15.73;4
nissan;benz;std;hatchback;fwd;front;240;420.6;162.1;135.4;919.9;1.5895;9.4;69;5200;13.179;15.73;4
nissan;benz;std;sedan;fwd;front;240;419.9;162.1;138.4;894;1.5895;9.4;69;5200;13.179;15.73;4
nissan;benz;std;wagon;fwd;front;240;432.3;162.1;135.9;924;1.5895;9.4;69;5200;13.179;15.73;4
nissan;benz;std;hardtop;fwd;front;241.6;412.5;162.1;135.4;910.8;1.5895;9.4;69;5200;13.179;15.73;4
nissan;benz;std;hatchback;fwd;front;246.9;440.4;165.6;138.9;1054.2;1.9664;8.5;97;5200;11.479;14.455;4
nissan;benz;std;sedan;fwd;front;246.9;440.4;165.6;138.9;1044.2;1.9664;8.5;97;5200;11.479;14.455;4
nissan;benz;std;sedan;fwd;front;255;461.5;168.9;140;1403.9;2.9661;9;152;5200;7.227;9.353;6
nissan;benz;std;wagon;fwd;front;255;468.9;168.9;142.5;1495.1;2.9661;9;152;5200;7.227;9.353;6
nissan;benz;std;sedan;fwd;front;255;468.9;168.9;140;1388;2.9661;9;152;5200;8.078;10.628;6
nissan;benz;std;hatchback;rwd;front;231.9;433.6;172.5;126.2;1393;2.9661;9;160;5200;8.078;10.628;6
nissan;benz;turbo;hatchback;rwd;front;231.9;433.6;172.5;126.2;1423.9;2.9661;7.8;200;5200;7.227;9.778;6
nissan;benz;std;hatchback;rwd;front;252;453.4;172.5;126.2;1423.9;2.9661;9;160;5200;8.078;10.628;6
peugeot;benz;std;sedan;rwd;front;274.1;474.2;173.7;144;1369.9;1.9664;8.4;97;5000;8.078;10.203;4
peugeot;diesel;turbo;sedan;rwd;front;274.1;474.2;173.7;144;1450.2;2.4908;21;95;4150;11.904;14.029;4
peugeot;benz;std;wagon;rwd;front;290.1;505.2;173.7;149.1;1465.1;1.9664;8.4;97;5000;8.078;10.203;4
peugeot;diesel;turbo;wagon;rwd;front;290.1;505.2;173.7;149.1;1555.8;2.4908;21;95;4150;10.628;10.628;4
peugeot;benz;std;sedan;rwd;front;274.1;474.2;173.7;144;1394.8;1.9664;8.4;95;5000;8.078;10.203;4
peugeot;diesel;turbo;sedan;rwd;front;274.1;474.2;173.7;144;1475.1;2.4908;21;95;4150;11.904;14.029;4
peugeot;benz;std;wagon;rwd;front;290.1;505.2;173.7;144;1490.1;1.9664;8.4;95;5000;8.078;10.203;4
peugeot;diesel;turbo;wagon;rwd;front;290.1;505.2;173.7;149.1;1580.8;2.4908;21;95;4150;10.628;10.628;4
peugeot;benz;std;sedan;rwd;front;274.1;474.2;173.7;144;1394.8;1.9664;8.4;97;5000;8.078;10.203;4
peugeot;diesel;turbo;sedan;rwd;front;274.1;474.2;173.7;144;1475.1;2.4908;21;95;4150;11.904;14.029;4
peugeot;benz;turbo;sedan;rwd;front;274.3;474.2;173.5;142.2;1419.8;2.1959;7;142;5600;7.652;10.203;4
plymouth;benz;std;hatchback;fwd;front;238;399.5;162.1;129;870;1.4748;9.4;68;5500;15.73;17.43;4
plymouth;benz;turbo;hatchback;fwd;front;238;399.5;162.1;129;965.3;1.6059;7.6;102;5500;10.203;12.754;4
plymouth;benz;std;hatchback;fwd;front;238;399.5;162.1;128.5;892.2;1.4748;9.4;68;5500;13.179;16.155;4
plymouth;benz;std;sedan;fwd;front;238;424.9;162.1;129;902.2;1.4748;9.4;68;5500;13.179;16.155;4
plymouth;benz;std;sedan;fwd;front;238;424.9;162.1;129;993.8;1.6059;9.4;68;5500;13.179;16.155;4
plymouth;benz;std;wagon;fwd;front;262.4;443.5;164.1;151.9;1149.9;1.9992;8.5;88;5000;10.203;12.754;4
plymouth;benz;turbo;hatchback;rwd;front;243.6;439.9;168.4;127.5;1278.2;2.5564;7;145;5000;8.078;10.203;4
porsche;benz;std;hatchback;rwd;front;240;429;173.5;127.5;1260.1;2.4744;9.5;143;5500;8.078;11.479;4
porsche;benz;std;hardtop;rwd;rear;227.3;429;165.1;131.1;1250.1;3.1791;9.5;207;5900;7.227;10.628;6
porsche;benz;std;hardtop;rwd;rear;227.3;429;165.1;131.1;1250.1;3.1791;9.5;207;5900;7.227;10.628;6
porsche;benz;std;convertible;rwd;rear;227.3;429;165.1;131.1;1270.1;3.1791;9.5;207;5900;7.227;10.628;6
porsche;benz;std;hatchback;rwd;front;249.9;446.3;183.6;128.3;1526.8;3.3266;10;288;5750;7.227;11.904;8
saab;benz;std;hatchback;fwd;front;251.7;474;168.9;142.5;1205.7;1.9828;9.31;110;5250;8.928;11.904;4
saab;benz;std;sedan;fwd;front;251.7;474;168.9;142.5;1222.5;1.9828;9.3;110;5250;8.928;11.904;4
saab;benz;std;hatchback;fwd;front;251.7;474;168.9;142.5;1227.9;1.9828;9.3;110;5250;8.928;11.904;4
saab;benz;std;sedan;fwd;front;251.7;474;168.9;142.5;1251;1.9828;9.3;110;5250;8.928;11.904;4
saab;benz;turbo;hatchback;fwd;front;251.7;474;168.9;142.5;1273.7;1.9828;9;160;5500;8.078;11.053;4
saab;benz;turbo;sedan;fwd;front;251.7;474;168.9;142.5;1291.4;1.9828;9;160;5500;8.078;11.053;4
subaru;benz;std;hatchback;fwd;front;238;398.5;161;136.4;929.9;1.5895;9;69;4900;13.179;15.305;4
subaru;benz;std;hatchback;fwd;front;238;401.1;161.5;136.4;961.6;1.7698;8.7;73;4400;11.053;13.179;4
subaru;benz;std;hatchback;4wd;front;237;399.5;162.1;141.5;1016.1;1.7698;8.7;73;4400;11.053;13.179;4
subaru;benz;std;sedan;fwd;front;246.9;436.9;166.1;133.3;973;1.7698;9.5;82;4800;13.604;15.73;4
subaru;benz;std;sedan;fwd;front;246.9;436.9;166.1;133.3;993.4;1.7698;9.5;82;4400;11.904;14.029;4
subaru;benz;std;sedan;fwd;front;246.9;436.9;166.1;133.3;1061.4;1.7698;9;94;5200;11.053;13.604;4
subaru;benz;std;sedan;4wd;front;246.4;436.9;166.1;137.9;1081.8;1.7698;9;82;4800;10.203;10.628;4
subaru;benz;turbo;sedan;4wd;front;246.4;436.9;166.1;137.9;1138.5;1.7698;7.7;111;4800;10.203;12.329;4
subaru;benz;std;wagon;fwd;front;246.4;440.7;166.1;134.6;1038.7;1.7698;9;82;4800;11.904;13.604;4
subaru;benz;std;wagon;fwd;front;246.4;440.7;166.1;134.6;1113.6;1.7698;9;94;5200;10.628;13.179;4
subaru;benz;std;wagon;4wd;front;246.1;440.9;166.1;139.4;1097.7;1.7698;9;82;4800;9.778;12.329;4
subaru;benz;turbo;wagon;4wd;front;246.1;440.9;166.1;139.4;1202;1.7698;7.7;111;4800;9.778;9.778;4
toyota;benz;std;hatchback;fwd;front;243.1;403.1;161.5;138.4;900.4;1.5076;9;62;4800;14.88;16.58;4
toyota;benz;std;hatchback;fwd;front;243.1;403.1;161.5;138.4;925.3;1.5076;9;62;4800;13.179;16.155;4
toyota;benz;std;hatchback;fwd;front;243.1;403.1;161.5;138.4;914;1.5076;9;62;4800;13.179;16.155;4
toyota;benz;std;wagon;fwd;front;243.1;431;161.5;150.1;1034.2;1.5076;9;62;4800;13.179;15.73;4
toyota;benz;std;wagon;4wd;front;243.1;431;161.5;150.1;1038.7;1.5076;9;62;4800;11.479;13.604;4
toyota;benz;std;wagon;4wd;front;243.1;431;161.5;150.1;1410.7;1.5076;9;62;4800;11.479;13.604;4
toyota;benz;std;sedan;fwd;front;243.1;422.4;163.6;134.6;943.9;1.6059;9;70;4800;12.754;15.73;4
toyota;benz;std;hatchback;fwd;front;243.1;422.4;163.6;134.1;956.6;1.6059;9;70;4800;12.754;15.73;4
toyota;diesel;std;sedan;fwd;front;243.1;422.4;163.6;134.6;1031.9;1.8026;22.5;56;4500;14.455;15.305;4
toyota;diesel;std;hatchback;fwd;front;243.1;422.4;163.6;134.1;1031.9;1.8026;22.5;56;4500;16.155;19.981;4
toyota;benz;std;sedan;fwd;front;243.1;422.4;163.6;134.6;949.8;1.6059;9;70;4800;16.155;19.981;4
toyota;benz;std;hatchback;fwd;front;243.1;422.4;163.6;134.1;962.5;1.6059;9;70;4800;11.904;14.455;4
toyota;benz;std;sedan;fwd;front;243.1;422.4;163.6;134.1;970.7;1.6059;9;70;4800;11.904;14.455;4
toyota;benz;std;sedan;rwd;front;240;428.5;162.6;133.6;983.9;1.6059;9;70;4800;12.329;14.455;4
toyota;benz;std;hatchback;rwd;front;240;428.5;162.6;133.6;999.7;1.6059;9;70;4800;12.329;14.455;4
toyota;benz;std;sedan;rwd;front;240;428.5;162.6;133.6;1027.4;1.6059;9.4;112;6600;11.053;12.329;4
toyota;benz;std;hatchback;rwd;front;240;428.5;162.6;133.6;1043.3;1.6059;9.4;112;6600;11.053;12.329;4
toyota;benz;std;hardtop;rwd;front;249.9;447.5;166.6;132.1;1152.1;2.3925;9.3;116;4800;10.203;12.754;4
toyota;benz;std;hardtop;rwd;front;249.9;447.5;166.6;132.1;1150.3;2.3925;9.3;116;4800;10.203;12.754;4
toyota;benz;std;hatchback;rwd;front;249.9;447.5;166.6;132.1;1157.1;2.3925;9.3;116;4800;10.203;12.754;4
toyota;benz;std;hardtop;rwd;front;249.9;447.5;166.6;132.1;1215.2;2.3925;9.3;116;4800;10.203;12.754;4
toyota;benz;std;hatchback;rwd;front;249.9;447.5;166.6;132.1;1231.1;2.3925;9.3;116;4800;10.203;12.754;4
toyota;benz;std;convertible;rwd;front;249.9;447.5;166.6;134.6;1349.5;2.3925;9.3;116;4800;10.203;12.754;4
toyota;benz;std;sedan;fwd;front;260.1;446;168.9;139.4;1055.1;1.9992;8.7;92;4200;12.329;14.455;4
toyota;diesel;turbo;sedan;fwd;front;260.1;446;168.9;139.4;1124.9;1.8026;22.5;73;4500;12.754;14.029;4
toyota;benz;std;hatchback;fwd;front;260.1;446;168.9;136.9;1095;1.9992;8.7;92;4200;11.479;13.604;4
toyota;benz;std;sedan;fwd;front;260.1;446;168.9;139.4;1095;1.9992;8.7;92;4200;11.479;13.604;4
toyota;benz;std;hatchback;fwd;front;260.1;446;168.9;136.9;1114.9;1.9992;8.7;92;4200;11.479;13.604;4
toyota;benz;std;hatchback;rwd;front;261.4;466.1;172;132.1;1349.9;2.8022;9.3;161;5200;8.503;10.203;6
toyota;benz;std;hatchback;rwd;front;261.4;466.1;172;132.1;1368.1;2.8022;9.3;161;5200;8.078;10.203;6
toyota;benz;std;sedan;rwd;front;265.4;477;168.9;137.4;1420.2;2.8022;9.2;156;5200;8.503;10.203;6
toyota;benz;std;wagon;rwd;front;265.4;477;168.9;137.4;1429.3;2.6383;9.2;156;5200;8.078;10.203;6
volkswagen;diesel;std;sedan;fwd;front;247.1;436.1;166.4;141.5;1025.6;1.5895;23;52;4800;15.73;19.556;4
volkswagen;benz;std;sedan;fwd;front;247.1;436.1;166.4;141.5;1002;1.7862;9;85;5250;11.479;14.455;4
volkswagen;diesel;std;sedan;fwd;front;247.1;436.1;166.4;141.5;1027;1.5895;23;52;4800;15.73;19.556;4
volkswagen;benz;std;sedan;fwd;front;247.1;436.1;166.4;141.5;1003.4;1.7862;9;85;5250;11.479;14.455;4
volkswagen;benz;std;sedan;fwd;front;247.1;436.1;166.4;141.5;1031.9;1.7862;9;85;5250;11.479;14.455;4
volkswagen;diesel;turbo;sedan;fwd;front;247.1;436.1;166.4;141.5;1051.9;1.5895;23;68;4500;15.73;17.856;4
volkswagen;benz;std;sedan;fwd;front;247.1;436.1;166.4;141.5;1043.3;1.7862;10;100;5500;11.053;13.604;4
volkswagen;benz;std;convertible;fwd;front;240;404.6;163.1;141.2;1022.4;1.7862;8.5;90;5500;10.203;12.329;4
volkswagen;benz;std;hatchback;fwd;front;240;420.9;162.6;130.6;1007.4;1.7862;8.5;90;5500;10.203;12.329;4
volkswagen;benz;std;sedan;fwd;front;255;457.7;169.9;140;1207;2.2286;8.5;110;5500;8.078;10.203;5
volkswagen;diesel;turbo;sedan;fwd;front;255;457.7;169.9;140;1169.8;1.5895;23;68;4500;14.029;16.155;4
volkswagen;benz;std;wagon;fwd;front;255;465.1;169.9;140;1162.6;1.7862;9;88;5500;10.628;13.179;4
volvo;benz;std;sedan;rwd;front;264.9;479.6;170.7;142.7;1320.9;2.3106;9.5;114;5400;9.778;11.904;4
volvo;benz;std;wagon;rwd;front;264.9;479.6;170.7;146.1;1376.2;2.3106;9.5;114;5400;9.778;11.904;4
volvo;benz;std;sedan;rwd;front;264.9;479.6;170.7;142.7;1331.3;2.3106;9.5;114;5400;10.203;11.904;4
volvo;benz;std;wagon;rwd;front;264.9;479.6;170.7;146.1;1379.9;2.3106;9.5;114;5400;10.203;11.904;4
volvo;benz;turbo;sedan;rwd;front;264.9;479.6;170.7;142.7;1381.2;2.1303;7.5;162;5100;7.227;9.353;4
volvo;benz;turbo;wagon;rwd;front;264.9;479.6;170.7;146.1;1432;2.1303;7.5;162;5100;7.227;9.353;4
volvo;benz;std;sedan;rwd;front;277.1;479.6;175;141;1339;2.3106;9.5;114;5400;9.778;11.904;4
volvo;benz;turbo;sedan;rwd;front;277.1;479.6;174.8;141;1383;2.3106;8.7;160;5300;8.078;10.628;4
volvo;benz;std;sedan;rwd;front;277.1;479.6;175;141;1366.2;2.835;8.8;134;5500;7.652;9.778;6
volvo;diesel;turbo;sedan;rwd;front;277.1;479.6;175;141;1459.2;2.3761;23;106;4800;11.053;11.479;6
volvo;benz;turbo;sedan;rwd;front;277.1;479.6;175;141;1388.9;2.3106;9.5;114;5400;8.078;10.628;4
